text;setting;entrance;exit;business;delivery;modifier;location;unknown;play;year;lemmas;clean_lemmas;pos;ner_lemmas;ner_pos
(в раздумье).;0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['в', 'раздумье'];['раздумье'];['S'];['раздумье'];['S']
(Достает из кармана огурец и ест.);0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['доставать', 'из', 'карман', 'огурец', 'и', 'есть'];['доставать', 'карман', 'огурец'];['V', 'S', 'S'];['доставать', 'карман', 'огурец'];['V', 'S', 'S']
Пауза.;0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['пауза'];['пауза'];['S'];['пауза'];['S']
(играет на гитаре и поет).;0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['играть', 'на', 'гитара', 'и', 'петь'];['играть', 'гитара', 'петь'];['V', 'S', 'V'];['играть', 'гитара', 'петь'];['V', 'S', 'V']
(Глядится в зеркальце и пудрится.);0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['глядеться', 'в', 'зеркальце', 'и', 'пудриться'];['глядеться', 'зеркальце', 'пудриться'];['V', 'S', 'V'];['глядеться', 'зеркальце', 'пудриться'];['V', 'S', 'V']
(Напевает.);0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['напевать'];['напевать'];['V'];['напевать'];['V']
Яша подпевает.;0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['яша', 'подпевать'];['яша', 'подпевать'];['S', 'V'];['Имя', 'подпевать'];['PERSN', 'V']
(Яше).;0;0;0;0;1;0;0;0;chekhov-vishnevyi-sad;1904;['яша'];['яша'];['S'];['Имя'];['PERSN']
(Зевает, потом закуривает сигару.);0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['зевать', 'потом', 'закуривать', 'сигара'];['зевать', 'закуривать', 'сигара'];['V', 'V', 'S'];['зевать', 'закуривать', 'сигара'];['V', 'V', 'S']
(Показывает револьвер.);0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['показывать', 'револьвер'];['показывать', 'револьвер'];['V', 'S'];['показывать', 'револьвер'];['V', 'S']
(Надевает ружье.);0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['надевать', 'ружье'];['надевать', 'ружье'];['V', 'S'];['надевать', 'ружье'];['V', 'S']
(Идет.);0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['идти'];['идти'];['V'];['идти'];['V']
(Уходит не спеша.);0;0;1;0;0;0;0;0;chekhov-vishnevyi-sad;1904;['уходить', 'не', 'спешить'];['уходить', 'спешить'];['V', 'V'];['уходить', 'спешить'];['V', 'V']
(Показывает обеими руками.);0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['показывать', 'оба', 'рука'];['показывать', 'оба', 'рука'];['V', 'NUM', 'S'];['показывать', 'оба', 'рука'];['V', 'NUM', 'S']
Пауза.;0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['пауза'];['пауза'];['S'];['пауза'];['S']
Пауза.;0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['пауза'];['пауза'];['S'];['пауза'];['S']
(Вздыхает.);0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['вздыхать'];['вздыхать'];['V'];['вздыхать'];['V']
(смущенно).;0;0;0;0;1;0;0;0;chekhov-vishnevyi-sad;1904;['смущенно'];['смущенно'];['ADV'];['смущенно'];['ADV']
(Берет гитару и уходит, наигрывая.);0;0;1;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['брать', 'гитара', 'и', 'уходить', 'наигрывать'];['брать', 'гитара', 'уходить', 'наигрывать'];['V', 'S', 'V', 'V'];['брать', 'гитара', 'уходить', 'наигрывать'];['V', 'S', 'V', 'V']
(Зевает.);0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['зевать'];['зевать'];['V'];['зевать'];['V']
Пауза.;0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['пауза'];['пауза'];['S'];['пауза'];['S']
(целует ее).;0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['целовать', 'она'];['целовать'];['V'];['целовать'];['V']
Пауза.;0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['пауза'];['пауза'];['S'];['пауза'];['S']
(зевает).;0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['зевать'];['зевать'];['V'];['зевать'];['V']
Пауза.;0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['пауза'];['пауза'];['S'];['пауза'];['S']
(Прислушивается.);0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['прислушиваться'];['прислушиваться'];['V'];['прислушиваться'];['V']
Дуняша порывисто обнимает его.;0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['дуняша', 'порывисто', 'обнимать', 'он'];['дуняша', 'порывисто', 'обнимать'];['S', 'ADV', 'V'];['Имя', 'порывисто', 'обнимать'];['PERSN', 'ADV', 'V']
(тихо кашляет).;0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['тихо', 'кашлять'];['тихо', 'кашлять'];['ADV', 'V'];['тихо', 'кашлять'];['ADV', 'V']
(Уходит.);0;0;1;0;0;0;0;0;chekhov-vishnevyi-sad;1904;['уходить'];['уходить'];['V'];['уходить'];['V']
Яша остается, сидит возле часовни. Входят Любовь Андреевна, Гаев и Лопахин.;0;1;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['яша', 'оставаться', 'сидеть', 'возле', 'часовня', 'входить', 'любовь', 'андреевна', 'гаев', 'и', 'лопахин'];['яша', 'оставаться', 'сидеть', 'возле', 'часовня', 'входить', 'любовь', 'андреевна', 'гаев', 'лопахин'];['S', 'V', 'V', 'PR', 'S', 'V', 'S', 'S', 'S', 'S'];['Имя', 'оставаться', 'сидеть', 'возле', 'часовня', 'входить', 'любовь', 'Имя', 'Имя', 'Имя'];['PERSN', 'V', 'V', 'PR', 'S', 'V', 'S', 'PERSN', 'PERSN', 'PERSN']
(Садится.);0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['садиться'];['садиться'];['V'];['садиться'];['V']
(Садится.);0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['садиться'];['садиться'];['V'];['садиться'];['V']
(Умоляюще.);0;0;0;0;1;0;0;0;chekhov-vishnevyi-sad;1904;['умоляющий'];['умоляющий'];['V'];['умоляющий'];['V']
(зевая).;0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['зевать'];['зевать'];['V'];['зевать'];['V']
(глядит в свое портмоне).;0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['глядеть', 'в', 'свой', 'портмоне'];['глядеть', 'свой', 'портмоне'];['V', 'APRO', 'S'];['глядеть', 'свой', 'портмоне'];['V', 'APRO', 'S']
(Уронила портмоне, рассыпала золотые.);0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['уронить', 'портмоне', 'рассыпать', 'золотой'];['уронить', 'портмоне', 'рассыпать', 'золотой'];['V', 'S', 'V', 'A'];['уронить', 'портмоне', 'рассыпать', 'золотой'];['V', 'S', 'V', 'A']
(Ей досадно.);0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['она', 'досадно'];['досадно'];['ADV'];['досадно'];['ADV']
(Собирает монеты.);0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['собирать', 'монета'];['собирать', 'монета'];['V', 'S'];['собирать', 'монета'];['V', 'S']
(машет рукой).;0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['махать', 'рука'];['махать', 'рука'];['V', 'S'];['махать', 'рука'];['V', 'S']
(Раздраженно Яше.);0;0;0;0;1;0;0;0;chekhov-vishnevyi-sad;1904;['раздраженно', 'яша'];['раздраженно', 'яша'];['ADV', 'S'];['раздраженно', 'Имя'];['ADV', 'PERSN']
(смеется).;0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['смеяться'];['смеяться'];['V'];['смеяться'];['V']
(сестре).;0;0;0;0;1;0;0;0;chekhov-vishnevyi-sad;1904;['сестра'];['сестра'];['S'];['сестра'];['S']
(отдает Любови Андреевне кошелек).;0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['отдавать', 'любовь', 'андреевна', 'кошелек'];['отдавать', 'любовь', 'андреевна', 'кошелек'];['V', 'S', 'S', 'S'];['отдавать', 'любовь', 'Имя', 'кошелек'];['V', 'S', 'PERSN', 'S']
(Едва удерживается от смеха.);0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['едва', 'удерживаться', 'от', 'смех'];['едва', 'удерживаться', 'смех'];['ADV', 'V', 'S'];['едва', 'удерживаться', 'смех'];['ADV', 'V', 'S']
(Уходит.);0;0;1;0;0;0;0;0;chekhov-vishnevyi-sad;1904;['уходить'];['уходить'];['V'];['уходить'];['V']
(Гаеву.);0;0;0;0;1;0;0;0;chekhov-vishnevyi-sad;1904;['гаев'];['гаев'];['S'];['Имя'];['PERSN']
(Хочет уйти.);0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['хотеть', 'уходить'];['хотеть', 'уходить'];['V', 'V'];['хотеть', 'уходить'];['V', 'V']
(испуганно).;0;0;0;0;1;0;0;0;chekhov-vishnevyi-sad;1904;['испуганно'];['испуганно'];['ADV'];['испуганно'];['ADV']
Пауза.;0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['пауза'];['пауза'];['S'];['пауза'];['S']
(в глубоком раздумье).;0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['в', 'глубокий', 'раздумье'];['глубокий', 'раздумье'];['A', 'S'];['глубокий', 'раздумье'];['A', 'S']
(кладет в рот леденец).;0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['класть', 'в', 'рот', 'леденец'];['класть', 'рот', 'леденец'];['V', 'S', 'S'];['класть', 'рот', 'леденец'];['V', 'S', 'S']
(Смеется.);0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['смеяться'];['смеяться'];['V'];['смеяться'];['V']
(Утирает слезы.);0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['утирать', 'слеза'];['утирать', 'слеза'];['V', 'S'];['утирать', 'слеза'];['V', 'S']
(Достает из кармана телеграмму.);0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['доставать', 'из', 'карман', 'телеграмма'];['доставать', 'карман', 'телеграмма'];['V', 'S', 'S'];['доставать', 'карман', 'телеграмма'];['V', 'S', 'S']
(Рвет телеграмму.);0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['рвать', 'телеграмма'];['рвать', 'телеграмма'];['V', 'S'];['рвать', 'телеграмма'];['V', 'S']
(Прислушивается.);0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['прислушиваться'];['прислушиваться'];['V'];['прислушиваться'];['V']
(прислушивается).;0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['прислушиваться'];['прислушиваться'];['V'];['прислушиваться'];['V']
(Тихо напевает.);0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['тихо', 'напевать'];['тихо', 'напевать'];['ADV', 'V'];['тихо', 'напевать'];['ADV', 'V']
(Смеется.);0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['смеяться'];['смеяться'];['V'];['смеяться'];['V']
Пауза.;0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['пауза'];['пауза'];['S'];['пауза'];['S']
Пауза.;0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['пауза'];['пауза'];['S'];['пауза'];['S']
Фирс входит. он принес пальто.;0;1;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['фирс', 'входить', 'он', 'приносить', 'пальто'];['фирс', 'входить', 'приносить', 'пальто'];['S', 'V', 'V', 'S'];['Имя', 'входить', 'приносить', 'пальто'];['PERSN', 'V', 'V', 'S']
(Гаеву).;0;0;0;0;1;0;0;0;chekhov-vishnevyi-sad;1904;['гаев'];['гаев'];['S'];['Имя'];['PERSN']
(надевает пальто).;0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['надевать', 'пальто'];['надевать', 'пальто'];['V', 'S'];['надевать', 'пальто'];['V', 'S']
(Оглядывает его.);0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['оглядывать', 'он'];['оглядывать'];['V'];['оглядывать'];['V']
(Смеется.);0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['смеяться'];['смеяться'];['V'];['смеяться'];['V']
Пауза.;0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['пауза'];['пауза'];['S'];['пауза'];['S']
(не расслышав).;0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['не', 'расслышать'];['расслышать'];['V'];['расслышать'];['V']
Входят Трофимов, Аня и Варя.;0;1;0;0;0;0;0;0;chekhov-vishnevyi-sad;1904;['входить', 'трофимов', 'аня', 'и', 'варя'];['входить', 'трофимов', 'аня', 'варя'];['V', 'S', 'S', 'S'];['входить', 'Имя', 'Имя', 'Имя'];['V', 'PERSN', 'PERSN', 'PERSN']
(нежно).;0;0;0;0;1;0;0;0;chekhov-vishnevyi-sad;1904;['нежно'];['нежно'];['ADV'];['нежно'];['ADV']
(Обнимая Аню и Варю.);0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['обнимать', 'аня', 'и', 'варя'];['обнимать', 'аня', 'варя'];['V', 'S', 'S'];['обнимать', 'Имя', 'Имя'];['V', 'PERSN', 'PERSN']
Все усаживаются.;0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['все', 'усаживаться'];['усаживаться'];['V'];['усаживаться'];['V']
(смеется).;0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['смеяться'];['смеяться'];['V'];['смеяться'];['V']
Все смеются.;0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['все', 'смеяться'];['смеяться'];['V'];['смеяться'];['V']
(иронически).;0;0;0;0;1;0;0;0;chekhov-vishnevyi-sad;1904;['иронически'];['иронически'];['ADV'];['иронически'];['ADV']
В глубине сцены проходит и играет на гитаре.;0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['в', 'глубина', 'сцена', 'проходить', 'и', 'играть', 'на', 'гитара'];['глубина', 'сцена', 'проходить', 'играть', 'гитара'];['S', 'S', 'V', 'V', 'S'];['глубина', 'сцена', 'проходить', 'играть', 'гитара'];['S', 'S', 'V', 'V', 'S']
(Задумчиво.);0;0;0;0;1;0;0;0;chekhov-vishnevyi-sad;1904;['задумчиво'];['задумчиво'];['ADV'];['задумчиво'];['ADV']
(задумчиво).;0;0;0;0;1;0;0;0;chekhov-vishnevyi-sad;1904;['задумчиво'];['задумчиво'];['ADV'];['задумчиво'];['ADV']
(негромко, как бы декламируя).;0;0;0;0;1;0;0;0;chekhov-vishnevyi-sad;1904;['негромко', 'как', 'бы', 'декламировать'];['негромко', 'декламировать'];['ADV', 'V'];['негромко', 'декламировать'];['ADV', 'V']
(умоляюще).;0;0;0;0;1;0;0;0;chekhov-vishnevyi-sad;1904;['умоляющий'];['умоляющий'];['V'];['умоляющий'];['V']
Все сидят, задумались. Тишина. Слышно только, как тихо бормочет Фирс. Вдруг раздается отдаленный звук, точно с неба, звук лопнувшей струны, замирающий, печальный.;0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['все', 'сидеть', 'задумываться', 'тишина', 'слышно', 'только', 'как', 'тихо', 'бормотать', 'фирс', 'вдруг', 'раздаваться', 'отдаленный', 'звук', 'точно', 'с', 'небо', 'звук', 'лопнуть', 'струна', 'замирать', 'печальный'];['сидеть', 'задумываться', 'тишина', 'слышно', 'тихо', 'бормотать', 'фирс', 'раздаваться', 'отдаленный', 'звук', 'точно', 'небо', 'звук', 'лопнуть', 'струна', 'замирать', 'печальный'];['V', 'V', 'S', 'ADV', 'ADV', 'V', 'S', 'V', 'A', 'S', 'ADV', 'S', 'S', 'V', 'S', 'V', 'A'];['сидеть', 'задумываться', 'тишина', 'слышно', 'тихо', 'бормотать', 'Имя', 'раздаваться', 'отдаленный', 'звук', 'точно', 'небо', 'звук', 'лопнуть', 'струна', 'замирать', 'печальный'];['V', 'V', 'S', 'ADV', 'ADV', 'V', 'PERSN', 'V', 'A', 'S', 'ADV', 'S', 'S', 'V', 'S', 'V', 'A']
(вздрагивает).;0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['вздрагивать'];['вздрагивать'];['V'];['вздрагивать'];['V']
Пауза.;0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['пауза'];['пауза'];['S'];['пауза'];['S']
Пауза.;0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['пауза'];['пауза'];['S'];['пауза'];['S']
(Ане.);0;0;0;0;1;0;0;0;chekhov-vishnevyi-sad;1904;['аня'];['аня'];['S'];['Имя'];['PERSN']
(Обнимает ее.);0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['обнимать', 'она'];['обнимать'];['V'];['обнимать'];['V']
Показывается Прохожий в белой потасканной фуражке, в пальто. он слегка пьян.;0;1;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['показываться', 'прохожий', 'в', 'белый', 'потаскать', 'фуражка', 'в', 'пальто', 'он', 'слегка', 'пьяный'];['показываться', 'прохожий', 'белый', 'потаскать', 'фуражка', 'пальто', 'слегка', 'пьяный'];['V', 'S', 'A', 'V', 'S', 'S', 'ADV', 'A'];['показываться', 'прохожий', 'белый', 'потаскать', 'фуражка', 'пальто', 'слегка', 'пьяный'];['V', 'S', 'A', 'V', 'S', 'S', 'ADV', 'A']
(Кашлянув.);0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['кашлянуть'];['кашлянуть'];['V'];['кашлянуть'];['V']
(Декламирует.);0;0;0;0;1;0;0;0;chekhov-vishnevyi-sad;1904;['декламировать'];['декламировать'];['V'];['декламировать'];['V']
(Варе.);0;0;0;0;1;0;0;0;chekhov-vishnevyi-sad;1904;['вар'];['вар'];['S'];['вар'];['S']
Варя испугалась, вскрикивает.;0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['варя', 'испугаться', 'вскрикивать'];['варя', 'испугаться', 'вскрикивать'];['S', 'V', 'V'];['Имя', 'испугаться', 'вскрикивать'];['PERSN', 'V', 'V']
(сердито).;0;0;0;0;1;0;0;0;chekhov-vishnevyi-sad;1904;['сердито'];['сердито'];['ADV'];['сердито'];['ADV']
(оторопев).;0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['оторопеть'];['оторопеть'];['V'];['оторопеть'];['V']
(Ищет в портмоне.);0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['искать', 'в', 'портмоне'];['искать', 'портмоне'];['V', 'S'];['искать', 'портмоне'];['V', 'S']
(Уходит.);0;0;1;0;0;0;0;0;chekhov-vishnevyi-sad;1904;['уходить'];['уходить'];['V'];['уходить'];['V']
Смех.;0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['смех'];['смех'];['S'];['смех'];['S']
(испуганная).;0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['испуганный'];['испуганный'];['A'];['испуганный'];['A']
(сквозь слезы).;0;0;0;0;1;0;0;0;chekhov-vishnevyi-sad;1904;['сквозь', 'слеза'];['сквозь', 'слеза'];['PR', 'S'];['сквозь', 'слеза'];['PR', 'S']
Уходят все, кроме Трофимова и Ани.;0;0;1;0;0;0;0;0;chekhov-vishnevyi-sad;1904;['уходить', 'все', 'кроме', 'трофимов', 'и', 'аня'];['уходить', 'кроме', 'трофимов', 'аня'];['V', 'PR', 'S', 'S'];['уходить', 'кроме', 'Имя', 'Имя'];['V', 'PR', 'PERSN', 'PERSN']
(смеясь).;0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['смеяться'];['смеяться'];['V'];['смеяться'];['V']
(всплескивая руками).;0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['всплескивать', 'рука'];['всплескивать', 'рука'];['V', 'S'];['всплескивать', 'рука'];['V', 'S']
Пауза.;0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['пауза'];['пауза'];['S'];['пауза'];['S']
Пауза.;0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['пауза'];['пауза'];['S'];['пауза'];['S']
(в восторге).;0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['в', 'восторг'];['восторг'];['S'];['восторг'];['S']
(задумчиво).;0;0;0;0;1;0;0;0;chekhov-vishnevyi-sad;1904;['задумчиво'];['задумчиво'];['ADV'];['задумчиво'];['ADV']
Слышно, как Епиходов играет на гитаре все ту же грустную песню, Восходит луна. Где-то около тополей Варя ищет Аню и зовет: «Аня! Где ты?»;0;0;0;1;0;0;1;0;chekhov-vishnevyi-sad;1904;['слышно', 'как', 'епиход', 'играть', 'на', 'гитара', 'весь', 'тот', 'же', 'грустный', 'песня', 'восходить', 'луна', 'где-то', 'около', 'тополь', 'варя', 'искать', 'аня', 'и', 'звать', 'аня', 'где', 'ты'];['слышно', 'епиход', 'играть', 'гитара', 'весь', 'грустный', 'песня', 'восходить', 'луна', 'где-то', 'около', 'тополь', 'варя', 'искать', 'аня', 'звать', 'аня'];['ADV', 'S', 'V', 'S', 'APRO', 'A', 'S', 'V', 'S', 'ADVPRO', 'ADV', 'S', 'S', 'V', 'S', 'V', 'S'];['слышно', 'епиход', 'играть', 'гитара', 'весь', 'грустный', 'песня', 'восходить', 'луна', 'где-то', 'около', 'тополь', 'Имя', 'искать', 'Имя', 'звать', 'Имя'];['ADV', 'S', 'V', 'S', 'APRO', 'A', 'S', 'V', 'S', 'ADVPRO', 'ADV', 'S', 'PERSN', 'V', 'PERSN', 'V', 'PERSN']
Пауза.;0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['пауза'];['пауза'];['S'];['пауза'];['S']
Голос Вари: «Аня! Где ты?»;0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['голос', 'варя', 'аня', 'где', 'ты'];['голос', 'варя', 'аня'];['S', 'S', 'S'];['голос', 'Имя', 'Имя'];['S', 'PERSN', 'PERSN']
(Сердито.);0;0;0;0;1;0;0;0;chekhov-vishnevyi-sad;1904;['сердито'];['сердито'];['ADV'];['сердито'];['ADV']
Идут.;0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['идти'];['идти'];['V'];['идти'];['V']
Голос Вари: «Аня! Аня!»;0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['голос', 'варя', 'аня', 'аня'];['голос', 'варя', 'аня', 'аня'];['S', 'S', 'S', 'S'];['голос', 'Имя', 'Имя', 'Имя'];['S', 'PERSN', 'PERSN', 'PERSN']
Занавес;0;0;0;0;0;0;0;1;chekhov-vishnevyi-sad;1904;['занавес'];['занавес'];['S'];['занавес'];['S']
Гостиная, отделенная аркой от залы. Горит люстра. Слышно, как в передней играет тройский оркестр, тот самый, о котором упоминается во втором акте. Вечор. В зале танцуют grand-rond. Голос Симеонова-Пищика: «Promenade a une paire!» Выходят в гостиную: в первой паре Пищик и Шарлотта Ивановна, во второй – Трофимов и Любовь Андреевна, в третьей – Аня с почтовым чиновником, в четвертой – Варя с начальником станции и т. д. Варя тихо плачет и, танцуя, утирает слезы. В последней паре Дуняша. Идут по гостиной, Пищик кричит: «Grand-rond, balancez!» и «Les cavaliers a genoux et remerciez vos dames».;1;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['гостиная', 'отделенный', 'арка', 'от', 'зала', 'гореть', 'люстра', 'слышно', 'как', 'в', 'передняя', 'играть', 'тройский', 'оркестр', 'тот', 'самый', 'о', 'который', 'упоминаться', 'во', 'второй', 'акт', 'вечор', 'в', 'зала', 'танцевать', 'голос', 'симеонов', 'пищик', 'выходить', 'в', 'гостиная', 'в', 'первый', 'пара', 'пищик', 'и', 'шарлотта', 'ивановна', 'во', 'второй', 'трофимов', 'и', 'любовь', 'андреевна', 'в', 'третий', 'аня', 'с', 'почтовый', 'чиновник', 'в', 'четвертая', 'варя', 'с', 'начальник', 'станция', 'и', 'т', 'д', 'варя', 'тихо', 'плакать', 'и', 'танцевать', 'утирать', 'слеза', 'в', 'последний', 'пара', 'дуняша', 'идти', 'по', 'гостиная', 'пищик', 'кричать', 'и'];['гостиная', 'отделенный', 'арка', 'зала', 'гореть', 'люстра', 'слышно', 'передняя', 'играть', 'тройский', 'оркестр', 'самый', 'который', 'упоминаться', 'второй', 'акт', 'вечор', 'зала', 'танцевать', 'голос', 'симеонов', 'пищик', 'выходить', 'гостиная', 'первый', 'пара', 'пищик', 'шарлотта', 'ивановна', 'второй', 'трофимов', 'любовь', 'андреевна', 'третий', 'аня', 'почтовый', 'чиновник', 'четвертая', 'варя', 'начальник', 'станция', 'т', 'д', 'варя', 'тихо', 'плакать', 'танцевать', 'утирать', 'слеза', 'последний', 'пара', 'дуняша', 'идти', 'гостиная', 'пищик', 'кричать'];['S', 'V', 'S', 'S', 'V', 'S', 'ADV', 'A', 'V', 'A', 'S', 'APRO', 'APRO', 'V', 'ANUM', 'S', 'ADV', 'S', 'V', 'S', 'S', 'S', 'V', 'S', 'ANUM', 'S', 'S', 'S', 'S', 'ANUM', 'S', 'S', 'S', 'ANUM', 'S', 'A', 'S', 'ANUM', 'S', 'S', 'S', 'S', 'S', 'S', 'ADV', 'V', 'V', 'V', 'S', 'A', 'S', 'S', 'V', 'S', 'S', 'V'];['гостиная', 'отделенный', 'арка', 'зала', 'гореть', 'люстра', 'слышно', 'передняя', 'играть', 'тройский', 'оркестр', 'самый', 'который', 'упоминаться', 'второй', 'акт', 'вечор', 'зала', 'танцевать', 'голос', 'Имя', 'пищик', 'выходить', 'гостиная', 'первый', 'пара', 'пищик', 'Имя', 'Имя', 'второй', 'Имя', 'любовь', 'Имя', 'третий', 'Имя', 'почтовый', 'чиновник', 'четвертая', 'Имя', 'начальник', 'станция', 'т', 'д', 'Имя', 'тихо', 'плакать', 'танцевать', 'утирать', 'слеза', 'последний', 'пара', 'Имя', 'идти', 'гостиная', 'пищик', 'кричать'];['S', 'V', 'S', 'S', 'V', 'S', 'ADV', 'A', 'V', 'A', 'S', 'APRO', 'APRO', 'V', 'ANUM', 'S', 'ADV', 'S', 'V', 'S', 'PERSN', 'S', 'V', 'S', 'ANUM', 'S', 'S', 'PERSN', 'PERSN', 'ANUM', 'PERSN', 'S', 'PERSN', 'ANUM', 'PERSN', 'A', 'S', 'ANUM', 'PERSN', 'S', 'S', 'S', 'S', 'PERSN', 'ADV', 'V', 'V', 'V', 'S', 'A', 'S', 'PERSN', 'V', 'S', 'S', 'V']
Фирс во фраке проносит на подносе сельтерскую воду. Входят в гостиную Пищик и Трофимов.;0;1;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['фирс', 'во', 'фрак', 'проносить', 'на', 'поднос', 'сельтерский', 'вода', 'входить', 'в', 'гостиная', 'пищик', 'и', 'трофимов'];['фирс', 'фрак', 'проносить', 'поднос', 'сельтерский', 'вода', 'входить', 'гостиная', 'пищик', 'трофимов'];['S', 'S', 'V', 'S', 'A', 'S', 'V', 'S', 'S', 'S'];['Имя', 'фрак', 'проносить', 'поднос', 'сельтерский', 'вода', 'входить', 'гостиная', 'пищик', 'Имя'];['PERSN', 'S', 'V', 'S', 'A', 'S', 'V', 'S', 'S', 'PERSN']
(Садится.);0;0;0;1;0;0;0;0;chekhov-vishnevyi-sad;1904;['садиться'];['садиться'];['V'];['садиться'];['V']
